lemma,f
novelist,137
outbid,7
leviathan,5
spectacles,30
dispersed,14
clotted,1
sugar-coated,1
migraine-inducing,1
accent,90
daub,21
khaki,6
flat-pack,5
humane,60
reticent,14
pendolino,1
distort,101
privilege,318
yachtsman,3
parsimonious,8
forbid,99
inconclusive,105
interventionist,38
gobby,5
sweary,7
que,4
motorcycle,12
bacchus,4
msc,3
duffle,1
click,150
excitable,16
teacup,4
cleaning,58
catchy,19
three-storey,3
uniqueness,4
impassive,1
frontload,8
verbatim,6
regenerative,8
permeate,32
beastly,5
half-cocked,1
strapped,2
flaunt,15
near-stagnation,3
ipsa,9
pensant,2
pocket-sized,1
widower,8
environmentalist,51
presage,20
artless,2
lunchtime,325
mourning,26
master,376
knotty,5
burglary,16
mushy,9
unknown,194
headcount,48
shotgun,20
withholding,10
heater,7
promotion,226
journal,68
four-star,2
blackness,14
mahout,1
euro-atlantic,3
adolescence,30
grid,58
idiot,84
swiss-based,2
blistering,10
doomsday,14
retrospective,64
turn-up,3
climate,1714
grandeur,37
ringfencing,36
much-delayed,7
roc,2
blair-style,2
berlusconus,2
traduce,7
stature,30
ftse-100,5
50-seat,12
surf,18
neutrality,20
salary,1028
striker,160
peep,7
dioxide,14
liquefy,5
gritty,35
aristocrat,35
empathise,25
austrian,104
exonerate,14
newcastle,2
ouzo,4
appetise,1
covenant,61
perpetuity,18
polity,26
regionalism,4
readymade,4
skeletal,7
nurturing,15
call-and-response,2
ngdp,3
16-year,14
modern-day,47
unseasonal,7
all-conservative,3
anatomise,4
following,122
alleged,176
ducal,1
lower-ranking,3
fertilise,1
polemic,28
publishing,102
secretarial,5
mindless,21
tumour,16
drudgery,4
anti-market,4
scaffolding,14
unhappy,249
repudiate,36
delegated,2
ultra-loose,13
kfw,1
debt-free,8
raf,58
high-growth,4
severance,9
henceforth,5
42-year,3
restaurateur,10
spoof,28
devolved,29
restore,824
non-eurozone,28
pan-fried,2
unmodernised,1
end,8536
walnut,16
falsehood,16
untapped,18
megabit,1
altered,11
aerodrome,1
super-committee,4
rearguard,12
prance,4
divvy,9
damaging,370
copyright,822
sa,18
two-notch,13
baccarat,2
amounting,14
coachload,1
warping,1
below-stair,1
preclude,28
democrat,395
gemstone,3
walkway,7
peony,1
humanise,14
wind-downs,1
multilateral,49
earl,1
self-made,16
autobiography,57
heraldic,2
potted,13
chore,17
low-earning,5
thicken,9
potty,11
fund-raise,1
invulnerability,2
garage,70
frightening,124
inquisition,8
privately-educated,2
blinder,7
reinvent,107
encroachment,8
soar,748
fantasist,14
incantation,5
half-brother,5
nighttime,1
adulterous,1
concerted,115
stimulant,7
shuttle,23
tinsel,6
blogg,70
museum,535
juggle,42
sludge,2
seam,31
commendable,27
conquering,1
quiet,441
46-year-old,15
sporty,7
mutualisation,27
concierge,3
back-stop,2
concise,7
rigour,107
cacophony,23
robe,10
vigilantism,1
underappreciate,1
prevalence,29
17-year-old,57
